ID,Артикул,Имя,Наличие,Базовая цена
61008,8500987,Ложка сервировочная ESSENTIALS,0,
61010,8500505,Ложка сервировочная,0,
61012,1210384,Ложка разливная для соуса Gastronomie,0,
61014,8500500,Ложка кухонная,0,
61017,3950100L,"Ложка для пасты LEO, серая, 31 см",0,
61020,3950412,"Ложка для пасты LEO BALANCE, 31 х 7 см",1,133400
61022,1207155,Ложка для мороженого Saxophone,0,
61025,1105420,Ложка Straight широкая,0,
61027,2800014,"Ложка Duet большая, 32,5 см",0,
61029,1386058,"Вилка для мяса, черная ручка, 15,2 см",0,
61032,3900015,"Вилка для мяса с деревянной ручкой RON, с покрытием, 17 см",0,
61035,3900005,"Вилка для мяса RON, с покрытием, 17 см",0,
61037,1301730,Вилка для мяса Orion,0,
61039,1399201,"Вилка для мяса Gourmet Line, 15,2 см",0,
61041,3700058,Вилка для мяса ESSENTIALS ECLIPSE,0,
61044,3950418,"Венчик  LEO BALANCE, 28 х 7 х 7 см",1,138700
61046,1100901,"Ложка для салата силиконовая с отверстием, оранжевая, 29,5 см",0,
61048,2801048,"Щипцы сервировочные, 30 см",0,
61051,3950064,"Щипцы пластиковые LEO, розовые, 28 см",0,
61053,4490310,Щипцы металлические для барбекю,0,
61055,2800201,Щипцы для салата,0,
61057,3501442,"Шумовка, нейлон",0,
61060,3950067,"Шумовка пластиковая LEO, розовая, 32,5 см",0,
61062,2800019,Шумовка кухонная Duet,0,
61064,3700052,"Шумовка ESSENTIALS ECLIPSE, 35,5 см",0,
61067,1101552,Штопор Hotel line,0,
61069,1211381,Разливная ложка для соуса Cosmos,0,
61071,8500501,Пресс для картофеля,0,
61074,1101852,"Половник с отверстиями, силикон, 32 см",0,
61076,1207193,Половник для соуса Saxophone,0,
61078,2800024,Половник для соуса Duet,0,
61081,3950102L,"Половник LEO, серый, 31,5 см",0,
61084,3950069,"Половник LEO, пластиковый, розовый, 31,5 см",0,
61087,1104850,"Половник Cubo, пластик",0,
61089,1211343,Половник Cosmos,0,
61091,8500503,Половник,0,
61093,1105239,Открывалка для консервов,0,
61095,1105215,Открывалка для бутылок Straight,0,
61097,1107325,Открывалка для бутылок Squalo,0,
61099,2800026,Открывалка для бутылок Duet,0,
61102,1107851,Открывалка для бутылок Cubo,0,
61104,2800775,Открывалка для бутылок,0,
